Reviewed?,Sign-off,String Key,Reference (English),Used Reference (English),String Value,Comments
FALSE,,releaseInfo.flashesThatFeature.item.asDifferentRelease,{FLASH} (as {TRACK}),{FLASH} (as {TRACK}),,
FALSE,,releaseInfo.referencesArtworks,References {ARTWORKS}.,References {ARTWORKS}.,,
FALSE,,releaseInfo.referencedByArtworks,Referenced by {ARTWORKS}.,Referenced by {ARTWORKS}.,,
FALSE,,releaseInfo.tracksFeatured,Tracks that {FLASH} features:,Tracks that {FLASH} features:,,
FALSE,,releaseInfo.viewCommentary,View {LINK}!,View {LINK}!,,
FALSE,,releaseInfo.viewCommentary.link,commentary page,commentary page,,
FALSE,,releaseInfo.viewGallery,View {LINK}!,View {LINK}!,,
FALSE,,releaseInfo.viewGallery.link,gallery page,gallery page,,
FALSE,,releaseInfo.viewGalleryOrCommentary,View {GALLERY} or {COMMENTARY}!,View {GALLERY} or {COMMENTARY}!,,
FALSE,,releaseInfo.viewGalleryOrCommentary.gallery,gallery page,gallery page,,
FALSE,,releaseInfo.viewGalleryOrCommentary.commentary,commentary page,commentary page,,
FALSE,,releaseInfo.viewOriginalFile,View {LINK}.,View {LINK}.,,
FALSE,,releaseInfo.viewOriginalFile.withSize,View {LINK} ({SIZE}).,View {LINK} ({SIZE}).,,
FALSE,,releaseInfo.viewOriginalFile.link,original file,original file,,
FALSE,,releaseInfo.viewOriginalFile.sizeWarning,"(Heads up! If you're on a mobile plan, this is a large download.)","(Heads up! If you're on a mobile plan, this is a large download.)",,
FALSE,,releaseInfo.listenOn,Listen on {LINKS}.,Listen on {LINKS}.,,
FALSE,,releaseInfo.listenOn.noLinks,This wiki doesn't have any listening links for {NAME}.,This wiki doesn't have any listening links for {NAME}.,,
FALSE,,releaseInfo.visitOn,Visit on {LINKS}.,Visit on {LINKS}.,,
FALSE,,releaseInfo.playOn,Play on {LINKS}.,Play on {LINKS}.,,
FALSE,,releaseInfo.readCommentary,Read {LINK}.,Read {LINK}.,,
FALSE,,releaseInfo.readCommentary.link,artist commentary,artist commentary,,
FALSE,,releaseInfo.readCreditSources,Read {LINK}.,Read {LINK}.,,
FALSE,,releaseInfo.readCreditSources.link,crediting sources,crediting sources,,
FALSE,,releaseInfo.additionalFiles.heading,View or download additional files:,View or download additional files:,,
FALSE,,releaseInfo.additionalFiles.entry,{TITLE},{TITLE},,
FALSE,,releaseInfo.additionalFiles.entry.noFilesAvailable,There are no files available or listed for this entry.,There are no files available or listed for this entry.,,
FALSE,,releaseInfo.additionalFiles.file,{FILE},{FILE},,
FALSE,,releaseInfo.additionalFiles.file.withSize,{FILE} ({SIZE}),{FILE} ({SIZE}),,
FALSE,,releaseInfo.additionalFiles.shortcut,View {LINK}.,View {LINK}.,,
FALSE,,releaseInfo.additionalFiles.shortcut.link,additional files,additional files,,
FALSE,,releaseInfo.sheetMusicFiles.heading,Print or download sheet music files:,Print or download sheet music files:,,
