Reviewed?,Sign-off,String Key,Current Reference (English),Used Reference (English),String Value,Comments
TRUE,"Cello, Niklink",count.fileSize.kilobytes,{KILOBYTES} kB,{KILOBYTES} kB,{KILOBYTES} kB,
TRUE,"Cello, Niklink",count.fileSize.bytes,{BYTES} bytes,{BYTES} bytes,{BYTES} bytes,
TRUE,"Niklink, Cello",count.index.zero,,,,
TRUE,"Niklink, Cello",count.index.one,{INDEX}st,{INDEX}st,{INDEX}.º,
TRUE,"Niklink, Cello",count.index.two,{INDEX}nd,{INDEX}nd,{INDEX}.º,
TRUE,"Niklink, Cello",count.index.few,{INDEX}rd,{INDEX}rd,{INDEX}.º,
TRUE,"Niklink, Cello",count.index.many,,,,
TRUE,"Niklink, Cello",count.index.other,{INDEX}th,{INDEX}th,{INDEX}.º,
TRUE,"Niklink, Cello",releaseInfo.by,By {ARTISTS}.,By {ARTISTS}.,Por {ARTISTS}.,
FALSE,Cello,releaseInfo.by.featuring,"By {ARTISTS}, featuring {FEATURING}.","By {ARTISTS}, featuring {FEATURING}.","Por {ARTISTS}, colaborando con {FEATURING}.","""Featuring"" isn't as quite straightforward to translate, but ""Colaboracion"" is about the closest we've come. Feel free to shout at me if there's a possible alternative for it. -Cello"
TRUE,"Niklink, Cello",releaseInfo.from,From {ALBUM}.,From {ALBUM}.,De {ALBUM}.,
TRUE,"Niklink, Cello",releaseInfo.coverArtBy,Cover art by {ARTISTS}.,Cover art by {ARTISTS}.,Carátula por {ARTISTS}.,
TRUE,"Niklink, Cello",releaseInfo.wallpaperArtBy,Wallpaper art by {ARTISTS}.,Wallpaper art by {ARTISTS}.,Fondo por {ARTISTS}.,
TRUE,"Niklink, Cello",releaseInfo.bannerArtBy,Banner art by {ARTISTS}.,Banner art by {ARTISTS}.,Arte de banner por {ARTISTS}.,
TRUE,"Niklink, Cello",releaseInfo.released,Released {DATE}.,Released {DATE}.,Lanzado el {DATE}.,
TRUE,"Niklink, Cello",releaseInfo.artReleased,Art released {DATE}.,Art released {DATE}.,Arte lanzado el {DATE}.,
TRUE,"Niklink, Cello",releaseInfo.addedToWiki,Added to wiki {DATE}.,Added to wiki {DATE}.,Añadido a la wiki el {DATE}.,
