Reviewed?,Sign-off,String Key,Reference (English),Used Reference (English),String Value,Comments
FALSE,ruby,releaseInfo.tracksThatSample,Tracks that sample {TRACK}:,Tracks that sample {TRACK}:,Nummers die {TRACK} samplen:,
FALSE,ruby,releaseInfo.tracksThatSample.sticky,Tracks that sample this one:,Tracks that sample this one:,Nummers die dit nummer samplen:,
FALSE,ruby,releaseInfo.tracksThatSample.sticky.fromGroup,Tracks from {GROUP} that sample this one:,Tracks from {GROUP} that sample this one:,Nummers van {GROUP} die dit nummer samplen:,
FALSE,ruby,releaseInfo.tracksThatSample.sticky.fromOther,Tracks from somewhere else that sample this one:,Tracks from somewhere else that sample this one:,Nummers van ergens anders dit dit nummer samplen:,
FALSE,ruby,releaseInfo.flashesThatFeature,Flashes & games that feature {TRACK}:,Flashes & games that feature {TRACK}:,Flashes en games waarin {TRACK} voorkomt:,
FALSE,ruby,releaseInfo.flashesThatFeature.sticky,Flashes & games that feature this track:,Flashes & games that feature this track:,Flashes en games waarin dit nummer voorkomt:,
FALSE,,releaseInfo.flashesThatFeature.item,{FLASH},{FLASH},,
FALSE,ruby,releaseInfo.flashesThatFeature.item.asDifferentRelease,{FLASH} (as {TRACK}),{FLASH} (as {TRACK}),{FLASH} (als {TRACK}),
FALSE,ruby,releaseInfo.referencesArtworks,References {ARTWORKS}.,References {ARTWORKS}.,Verwijst naar {ARTWORKS}.,
FALSE,ruby,releaseInfo.referencedByArtworks,Referenced by {ARTWORKS}.,Referenced by {ARTWORKS}.,Verwezen door {ARTWORKS}.,
FALSE,ruby,releaseInfo.tracksFeatured,Tracks that {FLASH} features:,Tracks that {FLASH} features:,Nummers die in {FLASH} voorkomen:,
FALSE,ruby,releaseInfo.viewCommentary,View {LINK}!,View {LINK}!,Bekijk {LINK}!,
FALSE,ruby,releaseInfo.viewCommentary.link,commentary page,commentary page,commentaarpagina,
FALSE,ruby,releaseInfo.viewGallery,View {LINK}!,View {LINK}!,Bekijk {LINK}!,
FALSE,ruby,releaseInfo.viewGallery.link,gallery page,gallery page,galerijpagina,
FALSE,ruby,releaseInfo.viewGalleryOrCommentary,View {GALLERY} or {COMMENTARY}!,View {GALLERY} or {COMMENTARY}!,Bekijk {GALLERY} of {COMMENTARY}!,
FALSE,ruby,releaseInfo.viewGalleryOrCommentary.gallery,gallery page,gallery page,galerijpagina,
FALSE,ruby,releaseInfo.viewGalleryOrCommentary.commentary,commentary page,commentary page,commentaarpagina,
FALSE,ruby,releaseInfo.viewOriginalFile,View {LINK}.,View {LINK}.,Bekijk {LINK}!,
FALSE,ruby,releaseInfo.viewOriginalFile.withSize,View {LINK} ({SIZE}).,View {LINK} ({SIZE}).,Bekijk {LINK} ({SIZE}).,
FALSE,ruby,releaseInfo.viewOriginalFile.link,original file,original file,origineel bestand,
FALSE,ruby,releaseInfo.viewOriginalFile.sizeWarning,"(Heads up! If you're on a mobile plan, this is a large download.)","(Heads up! If you're on a mobile plan, this is a large download.)","(Bekijk je de site op je telefoon? Let op je data, dit is een grote download!)",
FALSE,ruby,releaseInfo.listenOn,Listen on {LINKS}.,Listen on {LINKS}.,Luister op {LINKS},
FALSE,ruby,releaseInfo.listenOn.noLinks,This wiki doesn't have any listening links for {NAME}.,This wiki doesn't have any listening links for {NAME}.,Deze wiki heeft geen links om naar {NAME} te luisteren.,
FALSE,ruby,releaseInfo.visitOn,Visit on {LINKS}.,Visit on {LINKS}.,Ga naar {LINKS}.,
FALSE,ruby,releaseInfo.playOn,Play on {LINKS}.,Play on {LINKS}.,Speel op {LINKS}.,
FALSE,ruby,releaseInfo.readCommentary,Read {LINK}.,Read {LINK}.,Lees {LINK}.,
FALSE,ruby,releaseInfo.readCommentary.link,artist commentary,artist commentary,artiest commentaar,
FALSE,ruby,releaseInfo.readCreditSources,Read {LINK}.,Read {LINK}.,Lees {LINK}.,
FALSE,ruby,releaseInfo.readCreditSources.link,crediting sources,crediting sources,bronvermelding,
FALSE,ruby,releaseInfo.additionalFiles.heading,View or download additional files:,View or download additional files:,Bekijk of download extra bestanden:,
FALSE,ruby,releaseInfo.additionalFiles.entry,{TITLE},{TITLE},{TITLE},
FALSE,ruby,releaseInfo.additionalFiles.entry.noFilesAvailable,There are no files available or listed for this entry.,There are no files available or listed for this entry.,Er zijn geen bestanden beschikbaar of weergegeven voor dit item.,
FALSE,ruby,releaseInfo.additionalFiles.file,{FILE},{FILE},{FILE},
FALSE,ruby,releaseInfo.additionalFiles.file.withSize,{FILE} ({SIZE}),{FILE} ({SIZE}),{FILE} ({SIZE}),
FALSE,ruby,releaseInfo.additionalFiles.shortcut,View {LINK}.,View {LINK}.,Bekijk {LINK}.,
FALSE,ruby,releaseInfo.additionalFiles.shortcut.link,additional files,additional files,extra bestanden,
FALSE,ruby,releaseInfo.sheetMusicFiles.heading,Print or download sheet music files:,Print or download sheet music files:,Print of download bladmuziek bestanden:,
FALSE,ruby,releaseInfo.sheetMusicFiles.shortcut,Download {LINK}.,Download {LINK}.,Download {LINK}.,
FALSE,ruby,releaseInfo.sheetMusicFiles.shortcut.link,sheet music files,sheet music files,bladmuziek bestanden,
FALSE,ruby,releaseInfo.midiProjectFiles.heading,Download MIDI/project files:,Download MIDI/project files:,Download MIDI/project bestanden:,
FALSE,ruby,releaseInfo.midiProjectFiles.shortcut,Download {LINK}.,Download {LINK}.,Download {LINK}.,
FALSE,ruby,releaseInfo.midiProjectFiles.shortcut.link,MIDI/project files,MIDI/project files,MIDI/project bestanden,
FALSE,ruby,trackList.section,{SECTION}:,{SECTION}:,{SECTION}:,
FALSE,ruby,trackList.section.withDuration,{SECTION}: ({DURATION}),{SECTION}: ({DURATION}),{SECTION}: ({DURATION}),
FALSE,ruby,trackList.section.sticky,{SECTION}:,{SECTION}:,{SECTION}:,
FALSE,ruby,trackList.fromGroup,From {GROUP}:,From {GROUP}:,Van {GROUP}:,
